Wall time,Step,Value
1592889005.5017664,161,0.7813997864723206
1592889019.568888,162,0.8226270079612732
1592889033.4458468,163,0.8255033493041992
1592889047.4122205,164,0.8034515976905823
1592889061.393969,165,0.821668267250061
1592889075.4476936,166,0.7967401742935181
1592889089.2595289,167,0.8149568438529968
1592889103.0715868,168,0.8159156441688538
1592889117.004263,169,0.7861936688423157
1592889130.972721,170,0.8092042207717896
1592889144.8053048,171,0.8015340566635132
1592889158.9086964,172,0.8005752563476562
1592889172.9521716,173,0.8053691387176514
1592889186.9765184,174,0.8015340566635132
1592889200.7299259,175,0.8255033493041992
1592889214.763896,176,0.7507190704345703
1592889228.787916,177,0.76701819896698
1592889242.6828086,178,0.8034515976905823
1592889256.685899,179,0.7708532810211182
1592889270.7368648,180,0.8053691387176514
1592889284.6622245,181,0.8149568438529968
1592889298.794241,182,0.818791925907135
1592889312.8622146,183,0.793863832950592
1592889326.938395,184,0.8101630210876465
1592889341.0918815,185,0.8130393028259277
1592889355.0381606,186,0.8024927973747253
1592889368.9548552,187,0.7996165156364441
1592889382.9336593,188,0.821668267250061
1592889396.8993711,189,0.7823585867881775
1592889411.0542672,190,0.8331735134124756
1592889425.1425915,191,0.8034515976905823
1592889439.1884112,192,0.8044103384017944
1592889453.0920787,193,0.8034515976905823
1592889467.0641422,194,0.8072866797447205
1592889481.0488315,195,0.8101630210876465
1592889494.988095,196,0.7603068351745605
1592889508.8963535,197,0.7890700101852417
1592889522.8806343,198,0.794822633266449
1592889536.8777413,199,0.793863832950592
1592889550.7861001,200,0.7660594582557678
1592889564.811797,201,0.8235858082771301
1592889578.8859212,202,0.8312559723854065
1592889592.8987424,203,0.8072866797447205
1592889606.736812,204,0.8072866797447205
1592889620.7974787,205,0.8072866797447205
1592889634.807734,206,0.7967401742935181
1592889648.7826598,207,0.7564716935157776
1592889662.8514073,208,0.7574304938316345
1592889677.001156,209,0.7890700101852417
1592889690.9230568,210,0.7861936688423157
1592889705.007194,211,0.793863832950592
1592889718.8886864,212,0.7852349281311035
1592889733.000704,213,0.8072866797447205
1592889746.9473956,214,0.8111217617988586
1592889761.0802233,215,0.8139981031417847
1592889775.209309,216,0.7852349281311035
1592889789.3042333,217,0.7756471633911133
1592889803.2153556,218,0.791946291923523
1592889817.1538186,219,0.76701819896698
1592889831.1861696,220,0.7794822454452515
1592889845.177536,221,0.7679769992828369
1592889859.2655003,222,0.7909875512123108
1592889873.396291,223,0.8015340566635132
1592889887.277939,224,0.7823585867881775
1592889901.4509542,225,0.791946291923523
1592889915.5748289,226,0.8053691387176514
1592889929.6544065,227,0.7785235047340393
1592889943.6235523,228,0.7785235047340393
1592889957.6163487,229,0.8149568438529968
1592889971.5642302,230,0.7881112098693848
1592889985.5676806,231,0.8015340566635132
1592889999.6860335,232,0.8034515976905823
1592890013.6375854,233,0.8092042207717896
1592890027.5477827,234,0.8159156441688538
1592890041.5581615,235,0.7967401742935181
1592890055.5855293,236,0.7718120813369751
1592890069.5903013,237,0.772770881652832
1592890083.5493588,238,0.7871524691581726
1592890097.4565673,239,0.8072866797447205
1592890111.620366,240,0.8149568438529968
1592890125.464687,241,0.7708532810211182
1592890139.34973,242,0.8197507262229919
1592890153.3885725,243,0.818791925907135
1592890167.4157782,244,0.8331735134124756
1592890181.3721914,245,0.8111217617988586
1592890195.3442938,246,0.8168743848800659
1592890209.5499008,247,0.76701819896698
1592890223.5764546,248,0.7842761278152466
1592890237.5266857,249,0.7890700101852417
1592890251.4442232,250,0.793863832950592
1592890265.3978941,251,0.7833173274993896
1592890279.3884215,252,0.8111217617988586
1592890293.5791159,253,0.7459251880645752
1592890307.4492676,254,0.8178331851959229
1592890321.5895045,255,0.8159156441688538
1592890335.4961452,256,0.793863832950592
1592890349.5877154,257,0.8053691387176514
1592890363.560705,258,0.7929050922393799
1592890377.6186073,259,0.8408437371253967
1592890391.5362463,260,0.772770881652832
1592890405.6419835,261,0.8139981031417847
1592890419.7707353,262,0.7603068351745605
1592890433.909715,263,0.8130393028259277
1592890447.9031324,264,0.8015340566635132
1592890461.9392955,265,0.8063278794288635
1592890475.9732695,266,0.8024927973747253
1592890490.1698132,267,0.7737296223640442
1592890504.0033343,268,0.7708532810211182
1592890517.8565545,269,0.8130393028259277
1592890532.0686843,270,0.7708532810211182
1592890546.02826,271,0.7957813739776611
1592890560.0362701,272,0.8101630210876465
1592890574.1039338,273,0.7775647044181824
1592890588.2678401,274,0.821668267250061
1592890602.3982928,275,0.8168743848800659
1592890616.40443,276,0.8034515976905823
1592890630.4626155,277,0.8149568438529968
1592890644.5902853,278,0.7861936688423157
1592890658.6656501,279,0.8044103384017944
1592890672.567361,280,0.7842761278152466
1592890686.5398836,281,0.7535954117774963
1592890700.5431564,282,0.818791925907135
1592890714.8130653,283,0.794822633266449
1592890728.7165856,284,0.7833173274993896
1592890742.6689956,285,0.7746884226799011
1592890756.7666128,286,0.7718120813369751
1592890770.9499044,287,0.8005752563476562
1592890785.0703173,288,0.8063278794288635
1592890799.2296329,289,0.7641419172286987
1592890813.3773072,290,0.8178331851959229
1592890827.4515488,291,0.8360498547554016
1592890841.4647875,292,0.8072866797447205
1592890855.6872609,293,0.8101630210876465
1592890869.7311587,294,0.8082454204559326
